topHeadlineFeatures,name,brand,mainImageUrl,phoneType,restImageUrl,bestBuyPrice,colors,processor,releasedOS,accessories,additionalFeatures,ram,overViewDescription,overViewReleaseDate,overViewMarketStaus,overViewPhoneWeight,overViewDimension,overViewBodyMaterial,overViewReleaseOS,cameraFrontcameraInMegaPixalWithFeatures,cameraRearCameraInMegaPixalWithFeatures,cameraVideoResolution,cameraOtherCameraFeatures,displayScreenSize,displayScreenResolution,displayScreenMaterial,displayDisplayTechnology,displayDtherDisplayFeatures,batteryTalkTime,batteryBatteryCapacity,batteryBatteryTechnology,InternalStorage,ExpendableStorageFeatures,connectivityAndFeaturesWireLessConnectivityFeatures,connectivityAndFeaturesDualSimSupportabilty,connectivityAndFeaturesBluetoothVersion,connectivityAndFeaturesSimCardSize,connectivityAndFeaturesChargingOptions,connectivityAndFeaturesSensors,connectivityAndFeaturesothersConnectivityFeatures,connectivityAndFeaturesNetworkFeatures
"Battery:1200 mAh, Li-ion~Camera:2 MP Primary~Performance:32 MB RAM~Display:2.4 inches (Small)|240x320 px, Low sharp.",Samsung Metro B350E,Samsung,,,,"2,462",Black~Blue~White,,,,Description:The Samsung Metro B350E is a budget phone which flaunts a 2.4-inch display with a screen resolution of 240 x 320 pixels and has a pixel density of 167ppi. The phone is stacked with a 2MP camera that clicks clear images. The keypad is very responsive which allows consumers to conveniently type messages.,32 MB,,"August 14, 2015 (Official)",,,117.5 (H) x 51.3 (W) x 11.9 (T) mm,,,,Resolution:2 MP~Image Resolution:1600 x 1200 Pixels~Camera Features:Digital Zoom,,,2.4 inches,240 x 320 pixels,TFT,,Pixel Density:167 ppi,,1200 mAh,Li-ion,,Up to 16 GB,"4G: Not Available, 3G: Not Available, 2G: Available",,,,,,SIM Size:SIM1: Mini SIM2: Mini,"Dual SIM, GSM+GSM"
"Battery:1450 mAh, Li-ion~Camera:0.3 MP Primary~Display:2.4 inches (Small)|240x320 px, Low sharp.",Micromax X601,Micromax,,,,877,Black,,,,Description:The Micromax X601 features a 2.4-inch TFT display with a screen resolution of 240 x 320 pixels which results in a pixel density of 167ppi. The phone sports an elegant look and fits firmly into the hand. The device is stacked with a 0.3MP camera to click pictures. ,,,"August 14, 2015 (Official)",,63 grams,124 (H) x 51.5 (W) x 13.7 (T) mm,,,,Resolution:0.3 MP~Image Resolution:640 x 480 Pixels~Camera Features:Digital Zoom,,,2.4 inches,240 x 320 pixels,TFT,,Pixel Density:167 ppi,,1450 mAh,Li-ion,,Up to 8 GB,"4G: Not Available, 3G: Not Available, 2G: Available",,,,,,SIM Size:SIM1: Mini SIM2: Mini,"Dual SIM, GSM+GSM"
"Battery:1400 mAh, Li-ion|6 Hours talktime (3G)~Camera:2 MP Primary|LED Flash|0.3 MP Front~Performance:Single Core, 1 GHz|256 MB RAM~Display:4.0 inches (Small)|480x800 px, Avg. sharp.",Lava Flair P1i,Lava,,,,"2,522",Black~White,"Single core, 1 GHz",Android v4.4.2 (Kitkat),,Description:The Lava Flair P1i is a 4-inch TFT touchscreen display smartphone with a pixel resolution of 480 x 800 pixels and  has a pixel density of 233ppi. It runs Android v4.4.2 (Kitkat) OS and is powered by a single-core 1GHz single core processor combined with 512MB RAM.,256 MB,,"August 12, 2015 (Official)",,110 grams,122.4 (H) x 63.4 (W) x 10.1 (T) mm,,,Resolution:0.3 MP,Resolution:2 MP~Flash:LED Flash~Image Resolution:1600 x 1200 Pixels~Shooting Modes:High Dynamic Range mode (HDR)~Camera Features:Digital Zoom,,,4.0 inches,480 x 800 pixels,TFT,,"null~Touch Screen:Capacitive Touchscreen, Multi-touch",Talktime:Up to 6 Hours(3G) / Up to 10 Hours(2G),1400 mAh,Li-ion,512 MB,Up to 32 GB,"4G: Not Available, 3G: Available, 2G: Available",,,,,,,"Dual SIM, GSM+GSM"
"Battery:1600 mAh, Li-ion~Camera:5 MP Primary|LED Flash|2 MP Front~Performance:Quad Core, 1.2 GHz|512 MB RAM~Display:4.5 inches (Medium)|480x854 px, Avg. sharp.",Karbonn Titanium S109,Karbonn,,,,"3,699",Black~Gold,"Quad core, 1.2 GHz",Android v4.4.2 (Kitkat),,"Camera and Storage:The Karbonn Titanium is armed with a 5MP rear camera with LED flash and a 2MP snapper at the front so you don't miss out on selfies. It has an onboard memory of 8GB which can be increased up to 32GB with the help of a microSD card. %Battery and Connectivity:The Karbonn Titanium is backed by a 1,600mAh Li-ion battery. It has dual SIM connectivity and also comes with a variety of connectivity options like GPRS, 3G, Wi-Fi, Bluetooth and USB connectivity.%Display and Configuration:The Karbonn Titanium S109 is yet another addition to the Titanium family.The phone features a 4.5-inch compact TFT display with a resolution of 480 x 854 pixels. It comes with a pixel density of 218ppi. It has a 1.2GHz quad-core processor which is assisted by a 512MB RAM. The Android v4.4.2 (Kitkat) is its operating system. It comes in black and golden colours variants.",512 MB,,"August 17, 2015 (Official)",,,134.8 (H) x 67.8 (W) x 9.9 (T) mm,,,Resolution:2 MP,Resolution:5 MP~Flash:LED Flash~Image Resolution:2592 x 1944 Pixels~Camera Features:Digital Zoom,,,4.5 inches,480 x 854 pixels,TFT,,"null~Touch Screen:Capacitive Touchscreen, Multi-touch",,1600 mAh,Li-ion,8 GB,Up to 32 GB,"4G: Not Available, 3G: Available, 2G: Available",,,,,,,"Dual SIM, GSM+GSM"
"Battery:1800 mAh, Li-ion~Camera:5 MP Primary|LED Flash|0.3 MP Front~Performance:Quad Core, 1 GHz|MediaTek MT6735M|1 GB RAM~Display:4.5 inches (Medium)|480x854 px, Avg. sharp.",Panasonic T45 4G,Panasonic,,,,"4,610",Black~White,"Quad core, 1 GHz, Cortex A53",Android v5.1 (Lollipop),Chipset:MediaTek MT6735M~Architecture:64 bit~Graphics:Mali-T720 MP2,"Camera and Storage:The Panasonic T45 4G has a 5MP rear shooter as well as a 0.3MP front camera for video calling. The inbuilt storage capacity is 8GB which can further be expanded up to 32GB using an external microSD card. %Battery and Connectivity:The Panasonic T45 4G has a 1,800mAh li-ion battery and a host of other connectivity options. The options include GPRS, 3G, 4G, Wi-Fi, Bluetooth, GPS and USB connectivity.%Display and Configuration:The Panasonic T45 4G sports a TFT display of 4.5-inch with a display resolution of 480 x 854 pixels. It has a pixel density of 218ppi. The phone runs Android v5.1 (Lollipop) OS and is powered by 1GHz quad-core processor. It has 1GB RAM which accelerates the device for smoother performance.",1 GB,,"August 13, 2015 (Official)",,179 grams,130.6 (H) x 65.3 (W) x 9.5 (T) mm,,,Resolution:0.3 MP,"Resolution:5 MP~Sensor:CMOS image sensor~Autofocus:~Flash:LED Flash~Image Resolution:2592 x 1944 Pixels~Settings:Exposure compensation~Shooting Modes:Continuos Shooting, High Dynamic Range mode (HDR)~Camera Features:Digital Zoom, Auto Flash, Face detection, Touch to focus",,,4.5 inches,480 x 854 pixels,TFT,,null~Screen to Body Ratio:65.31 %,,1800 mAh,Li-ion,8 GB,Up to 32 GB,"4G: Available (supports Indian bands) 3G: Available, 2G: Available",,,,,,,"Dual SIM, GSM+GSM"
"Battery:1700 mAh, Li-Polymer~Camera:8 MP Primary|LED Flash|5 MP Front~Performance:Quad Core, 1.3 GHz|MediaTek MT6582M|2 GB RAM~Display:4.5 inches (Medium)|540x960 px, Avg. sharp.",Intex Cloud Pace,Intex,,,,"4,349",Black~Brown~Gray~White,"Quad core, 1.3 GHz, Cortex A7",Android v5.1 (Lollipop),Chipset:MediaTek MT6582M~Graphics:Mali-400,"Design and display :The Intex Cloud Pace is one of the best phones from the brand with an appealing design and low price tag. It offers chrome finish edges, measures 8.9mm around the waist, and weighs just 120grams. The phone comes with a compact 4.5-inch display suitable for one-hand use bearing a pixel density of 960 x 540 pixels, resulting into a pixel density of 245ppi. Overall, the device offers decent media viewing experience with crispy colour details and sharp display. %Configuration and OS:The Cloud Pace is equipped with a 1.3GHz quad-core MediaTek MT6582M processor, which is further supported by a Mali 400 GPU and 2GB of RAM to ensure smooth performance across the user interface and while playing high-end games. Software-side, the phone runs Android 5.0 Lollipop, which brings Google's Material Design, and smoother performance when compared to Android KitKat. %Connectivity and battery:In terms of connectivity, the Cloud Pace offers the regular array of features including dual-SIM support, 3G, Wi-Fi, Bluetooth 4.0, micro-USB, and A-GPS. A 1,700mAh battery keeps the phone running, which the brand promises to deliver up to five hours of talk time and up to 180 hours of standby time. %Camera and storage:For imaging, the Intex Cloud Pace offers decent features including an 8MP rear camera with an LED flash and a 5MP secondary snapper for self-portraits and video calls. It's camera application is also loaded with several imaging tweaks like face beauty, face detection and zero shutter delay. For storage, the phone gets a decent 16GB of internal memory, which users can further expand up to 32GB via a microSD card. ",2 GB,,"August 11, 2015 (Official)",,120 grams,136 (H) x 68 (W) x 8.9 (T) mm,,,Resolution:5 MP,"Resolution:8 MP~Aperture:2.8 F~Flash:LED Flash~Image Resolution:3264 x 2448 Pixels~Shooting Modes:Continuos Shooting, High Dynamic Range mode (HDR)~Camera Features:Digital Zoom, Auto Flash, Face detection~Video Recording:1280x720 @ 30 fps",,,4.5 inches,540 x 960 pixels,IPS LCD,,"null~Touch Screen:Capacitive Touchscreen, Multi-touch",Talktime:Up to 5 Hours(2G)Standby Time:Up to 180 Hours(2G),1700 mAh,Li-Polymer,16 GB,Up to 32 GB,"4G: Not Available, 3G: Available, 2G: Available",,,,,,,"Dual SIM, GSM+GSM"
"Battery:2000 mAh, Li-ion~Camera:5 MP Primary|LED Flash|0.3 MP Front~Performance:Quad Core, 1.2 GHz|Spreadtrum SC7731|512 MB RAM~Display:5.0 inches (Medium)|540x960 px, Avg. sharp.",Intex Aqua Sense 5.0,Intex,,,,"4,001",Black~White,"Quad core, 1.2 GHz, Cortex A7",Android v4.4.2 (Kitkat),Chipset:Spreadtrum SC7731~Graphics:Mali-400 MP2,"Connectivity and Battery:The Intex Aqua Sense 5.0 smartphone sips its juice from a 2,000mAh, li-ion battery. A rich diversity can be spotted on the connectivity front as the device packs in options like 3G, Wi-Fi 802.11, b/g/n, Mobile Hotspot, Bluetooth v2.1, GPS with A-GPS, and USB connectivity.%Camera and Memory:The Intex Aqua Sense 5.0 has a 5MP shooter on its back which has an LED flash as well. It has a 0.3MP front camera for stunning selfies. It comes with Auto Focus, Panorama Mode, Continuous Shot, clicks picture by Volume up/down key and headphone button, and slow motion video recording etc. The phone comes with an 8GB RAM and up to 32GB of expandable memory with the help of a memory card.%Display and Configuration:The Intex Aqua Sense 5.0 smartphone from Intex boasts of a superior design. The rectangular shaped phone with sharp curves around the edges is encompassed within a sleek 8mm casing and is available in black and white colour variants. The smartphone houses a 5-inch IPS LCD qHD display. It has a display resolution of 540 x 960 pixels with a pixel density of 220 ppi and renders a superior viewing experience with good clarity. The device is powered by quad-core, 1.2GHz, Cortex A7 processor which is coupled with 512MB of RAM. It runs on Android v4.4.2 (Kitkat) operating system. ",512 MB,,"August 22, 2015 (Official)",,160 grams,145.5 (H) x 73 (W) x 8.9 (T) mm,,,Resolution:0.3 MP,Resolution:5 MP~Flash:LED Flash~Image Resolution:2592 x 1944 Pixels~Shooting Modes:Continuos Shooting~Camera Features:Digital Zoom,,,5.0 inches,540 x 960 pixels,IPS LCD,,"SIM Size:SIM1: Micro SIM2: Mini~Touch Screen:Capacitive Touchscreen, Multi-touch",Talktime:Up to 10 Hours(2G)Standby Time:Up to 230 Hours(2G),2000 mAh,Li-ion,8 GB,Up to 32 GB,"4G: Not Available, 3G: Available, 2G: Available",,,,,,SIM Size:SIM1: Micro SIM2: Mini,"Dual SIM, GSM+GSM"
"Battery:3500 mAh, Li-ion|Non removable~Camera:13 MP Primary|LED Flash|8 MP Front~Performance:Octa Core, 1.5 GHz|MediaTek MT6752|2 GB RAM~Display:5.5 inches (Large)|HD, Avg. sharp.",Panasonic Eluga Icon,Panasonic,,,,"9,363",Gray,"Octa core, 1.5 GHz, Cortex A53",Android v4.4 (Kitkat),Chipset:MediaTek MT6752~Architecture:64 bit~Graphics:Mali-T760 MP2~USB OTG Support:,"Camera and Storage:The Panasonic Eluga Icon is equipped with an 8MP autofocus camera with LED flash and digital zoom. The smartphone also has an 8MP front facing snapper for selfies and video chatting. It comes with an inbuilt memory of 16GB which is further expandable up to 32GB using a Micro SD card. The phone supports OTG which allows you to watch movies or play other multimedia files stored in your pendrive using an OTG cable.%Battery and Connectivity:The smartphone is fuelled with a 3,500mAh li-ion battery which promises to deliver 19 hours of talk time (2G) and up to 900 hours of standby time (2G). Panasonic Eluga Icon provides a wide array of connectivity options like 4G, 3G, EDGE, Wi-Fi 802.11 b/g/n for fast internet and Bluetooth, GPS and a microUSB v2.0 for connecting it with other devices.%Display and Configuration:The Panasonic Eluga Icon features a 5.5-inch IPS LCD capacitive multi-touch display with a screen resolution of 720 x 1,280 pixels thereby producing a pixel density of 267 ppi. The smartphone is strengthened by a 1.5GHz octa-core MediaTek processor coupled with 2GB RAM to ensure seamless multitasking and a decent gaming experience. The Eluga Icon sails on Android v4.4 KitKat out of the box.",2 GB,,"August 11, 2015 (Official)",,145 grams,152 (H) x 76 (W) x 8.0 (T) mm,,,Resolution:8 MP~Flash:No,"Resolution:13 MP~Sensor:CMOS image sensor~Autofocus:~Optical Image Stabilisation:No~Flash:LED Flash~Image Resolution:4128 x 3096 Pixels~Settings:Exposure compensation, ISO control~Shooting Modes:Continuos Shooting, High Dynamic Range mode (HDR)~Camera Features:Digital Zoom, Auto Flash, Digital image stabilization, Face detection, Touch to focus~Video Recording:1920x1080 @ 30 fps",,,5.5 inches,HD (720 x 1280 pixels),IPS LCD,,SIM Size:SIM1: Micro SIM2: Micro~Fingerprint Sensor:No~Quick Charging:No~Screen to Body Ratio:72.02 %,Talktime:Up to 19 Hours(2G)Standby Time:Up to 900 Hours(2G),3500 mAh,Li-ion,16 GB,Up to 32 GB,"4G: Available (supports Indian bands) 3G: Available, 2G: Available",,,,,,SIM Size:SIM1: Micro SIM2: Micro~Fingerprint Sensor:No~Quick Charging:No,"Dual SIM, GSM+GSM"
"Battery:3000 mAh, Li-Polymer~Camera:13 MP Primary|Dual-color LED Flash|5 MP Front~Performance:Octa Core, 1.5 GHz|Snapdragon 615|3 GB RAM~Display:5.5 inches (Large)|HD, Avg. sharp.|Gorilla Glass",Asus Zenfone 2 Laser ZE550KL 3GB RAM,Asus,,,,"11,802",Black~Red~White,"Octa core, 1.5 GHz, Cortex A53",Android v5.0 (Lollipop),Chipset:Qualcomm Snapdragon 615 MSM8939~Architecture:64 bit~Graphics:Adreno 405~USB OTG Support:,"Camera and Storage:The Asus Zenfone 2 Laser ZE550KL packs a 13MP autofocus rear camera with dual LED flash to take vivid pictures even in low light and has inbuilt features like Geotagging, Face detection, Touch to focus, High Dynamic Range mode (HDR), Exposure compensation, Laser AF, White balance presets, ISO Control. It also has a 5MP front camera to take care of video calling and selfies. This variant of the Asus Zenfone series comes with a 16GB internal memory which can be further expanded up to 128GB. %Battery and Connectivity:The Asus Zenfone 2 Laser ZE550KL has dual SIM connectivity. The phone drains power from a 3,000mAh li-ion battery that gives you ample usage time. It is provisioned with abundant connectivity options like GPRS, 3G, 4G, Wi-Fi, Bluetooth, GPS and USB connectivity.%Display and Configuration:The Asus Zenfone 2 Laser ZE550KL 3GB comes with a 5.5-inch HD IPS LCD display with a resolution of 720 x 1,280 pixels and a pixel density of 267ppi. The display has Corning Gorilla Glass v4 to protect it against reckless scratches. It is powered by a Snapdragon 615 dual processors consisting of quad-core 1.7GHz and 1GHz quad-core Cortex A53. It is aided by a powerful 3GB RAM and Adreno 405 GPU. It runs on Android v5.0 (Lollipop) operating system.",3 GB,,"October 26, 2015 (Official)",,170 grams,152.5 (H) x 77.2 (W) x 10.8 (T) mm,,,Resolution:5 MP~Autofocus:~Flash:No,"Resolution:13 MP~Sensor:Back-illuminated sensor (BSI)~Autofocus:Laser autofocus~Aperture:2.0 F~Optical Image Stabilisation:No~Flash:Dual-color LED Flash~Image Resolution:4128 x 3096 Pixels~Settings:Exposure compensation, ISO control~Shooting Modes:Continuos Shooting, High Dynamic Range mode (HDR)~Camera Features:Digital Zoom, Auto Flash, Face detection, Touch to focus~Video Recording:1920x1080 @ 30 fps",,,5.5 inches,HD (720 x 1280 pixels),IPS LCD,,Custom UI:Zen UI 2.0~SIM Size:SIM1: Micro SIM2: Micro~Fingerprint Sensor:No~Quick Charging:No~Screen to Body Ratio:70.67 %,,3000 mAh,Li-Polymer,16 GB,Up to 128 GB,"4G: Available (supports Indian bands) 3G: Available, 2G: Available",,,,,,Custom UI:Zen UI 2.0~SIM Size:SIM1: Micro SIM2: Micro~Fingerprint Sensor:No~Quick Charging:No,"Dual SIM, GSM+GSM"
"Battery:2200 mAh, Li-Polymer~Camera:8 MP Primary|LED Flash|2 MP Front~Performance:Quad Core, 1.2 GHz|Snapdragon 410|2 GB RAM~Display:4.7 inches (Medium)|HD, Sharp",Xiaomi Redmi 2 Prime,Xiaomi,,,,"6,999",Gray~White,"Quad core, 1.2 GHz, Cortex A53",Android v4.4.4 (Kitkat),Chipset:Qualcomm Snapdragon 410 MSM8916~Architecture:64 bit~Graphics:Adreno 306~USB OTG Support:,"Camera and Storage:At the back of Xiaomi Redmi 2 Prime, we have an 8MP autofocus camera accompanied by a 2MP snapper at the front which can be used for capturing selfies and enjoying video calls. For storage purpose, it is packed with an internal memory of 16GB which is further expandable up to 32GB via microSD slot.%Battery and Connectivity:The Xiaomi Redmi 2 is fuelled by a 2,200 mAh, li-Po, non-removable battery. Moving to the connectivity section, it has options like 4G, 3G, Wi-Fi, Bluetooth v4.0, GPS, GPRS and USB support.%Display and Configuration:The Xiaomi Redmi 2 Prime sports a 4.7-inch IPS LCD multi touch display with a resolution of 720 x 1,280 pixels (HD) leading to a pixel density of 312ppi. Acting as the brains of the Xiaomi Redmi 2 Prime is a 1.2GHz quad-core processor. It is assisted by a 2GB RAM thereby exhibiting powerful and smooth performance. It runs on Android v4.4.4 Kitkat OS.",2 GB,,"August 10, 2015 (Official)",,134 grams,134 (H) x 67.2 (W) x 9.4 (T) mm,,,Resolution:2 MP~Autofocus:No~Flash:No,"Resolution:8 MP~Sensor:Back-illuminated sensor (BSI)~Autofocus:Phase Detection autofocus~Aperture:2.2 F~Optical Image Stabilisation:No~Flash:LED Flash~Image Resolution:3264 x 2448 Pixels~Settings:Exposure compensation~Shooting Modes:Continuos Shooting, High Dynamic Range mode (HDR), Burst mode~Camera Features:Digital Zoom, Auto Flash, Face detection, Smile detection, Touch to focus~Video Recording:1920x1080 @ 30 fps",,,4.7 inches,HD (720 x 1280 pixels),IPS LCD,,Custom UI:MIUI 6~SIM Size:SIM1: Micro~Fingerprint Sensor:No~Quick Charging:~Screen to Body Ratio:67.47 %,,2200 mAh,Li-Polymer,16 GB,Up to 32 GB,"4G: Available (supports Indian bands) 3G: Available, 2G: Available",,,,,,Custom UI:MIUI 6~SIM Size:SIM1: Micro~Fingerprint Sensor:No~Quick Charging:,"Dual SIM, GSM+GSM"
