reviewId,rating,reviewHeadline,reviewContent,reviewDate
Micromax X610,5 stars,Five Stars,working good 6 users found this review helpful helpful?,"26 Apr 2016,"
Micromax X610,5 stars,very good ph at 1040 rs.built in quality like nokia & samsung,very good phone at price tag 1040..very hard set. pros: 1)very good battery life almost 4-5 days usage. 2)very good sound clarity 3)good screen resolution 4.very good FM clarity. 5)free screen guard comes with ph cons: 1)no headphone or charger in sales pack 2)battery showing 1450 mah but the phone comes with 1800 mah battery .though it was very good for me.. 3)amazon courier service is not upto the mark.. ph is very good if u want a ph for long battery life & only for call & sms function.as the ph is never let u down.just go for it 6 users found this review helpful helpful?,"14 Apr 2016,"
Micromax X610,2 stars,Two Stars,No charger and headset in the packet. Failed to confirm what are all included in it. 4 users found this review helpful helpful?,"30 Sep 2015,"
Micromax X610,1 stars,"It's actually sensible, to avoid this !","Most pathetic thing about these new lot of Micromax feature phones are : -- Firstly, all these budget devices carry only 6 months warranty instead of 1 year warranty. So, beware ! -- Secondly, none of them has a charger & headset provided in the sales package. Most of the customers (post-purchase) are literally feeling duped with this kind of weird changes from what all are used to, since inception of mobile phones. I mean, what kind of cost-cutting is this ? Simply unjustified & highly disgusting ! 3 users found this review helpful helpful?","18 Oct 2015,"
Micromax X610,3 stars,Okey...okey,overall mobile is good under 1k ...but this mobile does not have vibrator mode. so guys looking for mobile with vibration mode don't buy this. atleast they should provide charger with the handset... 2 users found this review helpful helpful?,"26 Oct 2015,"
Micromax X805,No rating,This phone has No Vibration,This phone has No Vibration Pros This phone has No Vibration Cons This phone has No Vibration 0 users found this review helpful helpful?,"13 May 2016,"
Micromax X805,5 stars,Five Stars,Nice one 6 users found this review helpful helpful?,"12 May 2016,"
Micromax X805,5 stars,no vibration in the fone only draw back,no vibration in the fone only draw back 5 users found this review helpful helpful?,"24 Apr 2016,"
Micromax X805,5 stars,carefully befoer buy,"The product not bad . and quality not enough like a China, korea normal phone . but poor parking .. Over lowed sound high . may be buy midileclass phone .. See before buy .. Care full in build memory not working so using only memory card ... 5 users found this review helpful helpful?","11 Mar 2016,"
Micromax X805,1 stars,I did not received the charger,I did not received the charger 5 users found this review helpful helpful?,"13 Feb 2016,"
